sector,regime,Avg_Return_60d,Win_Rate,Signal_Count
Auto,Mild_Bear,4.63,66.9,172
Auto,Mild_Bull,5.54,65.9,364
Auto,Recovery,3.5,50.0,52
Auto,Strong_Bear,14.78,81.4,188
Auto,Strong_Bull,2.58,56.4,916
Banking,Mild_Bear,7.05,80.9,215
Banking,Mild_Bull,1.82,60.7,455
Banking,Recovery,6.96,64.6,65
Banking,Strong_Bear,10.84,91.1,235
Banking,Strong_Bull,3.15,61.7,1145
Consumer,Mild_Bear,1.06,53.0,215
Consumer,Mild_Bull,4.79,65.5,455
Consumer,Recovery,3.62,67.7,65
Consumer,Strong_Bear,7.44,76.2,235
Consumer,Strong_Bull,2.81,60.0,1145
Defense,Mild_Bear,6.91,62.8,156
Defense,Mild_Bull,8.21,55.8,362
Defense,Recovery,5.96,50.0,46
Defense,Strong_Bear,24.32,84.7,190
Defense,Strong_Bull,7.47,55.6,826
Energy,Mild_Bear,1.45,53.5,215
Energy,Mild_Bull,6.84,61.3,455
Energy,Recovery,-0.4,46.2,65
Energy,Strong_Bear,8.14,67.2,235
Energy,Strong_Bull,2.77,55.6,1145
IT_Services,Mild_Bear,8.96,72.1,215
IT_Services,Mild_Bull,0.35,50.3,455
IT_Services,Recovery,6.1,72.3,65
IT_Services,Strong_Bear,6.32,62.6,235
IT_Services,Strong_Bull,5.08,66.2,1145
Industrials,Mild_Bear,6.77,72.1,215
Industrials,Mild_Bull,1.65,56.2,454
Industrials,Recovery,6.21,66.2,65
Industrials,Strong_Bear,9.06,76.2,235
Industrials,Strong_Bull,5.79,60.3,1145
Metals,Mild_Bear,5.81,64.2,215
Metals,Mild_Bull,1.23,55.2,455
Metals,Recovery,5.59,64.6,65
Metals,Strong_Bear,11.32,74.0,235
Metals,Strong_Bull,7.22,62.3,1145
Pharma,Mild_Bear,5.75,67.9,215
Pharma,Mild_Bull,2.97,53.5,454
Pharma,Recovery,2.94,49.2,65
Pharma,Strong_Bear,8.28,75.3,235
Pharma,Strong_Bull,1.86,54.1,1145
Realty,Mild_Bear,10.26,76.7,215
Realty,Mild_Bull,3.01,53.1,454
Realty,Recovery,8.01,73.8,65
Realty,Strong_Bear,12.41,77.9,235
Realty,Strong_Bull,6.83,60.7,1145
Telecom,Mild_Bear,6.27,64.7,215
Telecom,Mild_Bull,3.6,55.4,455
Telecom,Recovery,3.31,52.3,65
Telecom,Strong_Bear,14.48,78.7,235
Telecom,Strong_Bull,4.63,61.0,1145
