regime,horizon,n,avg_ret,median_ret,win_rate,std,sharpe,worst,best
Recovery,10,683,-0.6021524950000064,-0.6612060967831137,43.48462664714495,4.993853426894724,-0.6069528407951591,-25.85361570172786,21.953489994289868
Recovery,20,683,-0.07277336178790815,0.020645112616859144,50.219619326500734,6.677780472479367,-0.040431081098615256,-33.90170035543723,20.617986728873216
Recovery,40,683,2.022900249131533,1.437631822629904,55.92972181551976,10.228923105247521,0.49476717125194003,-40.42799108283594,52.193666817429175
Recovery,60,683,4.6980082159668894,2.5766111635272306,60.17569546120058,13.39754490641387,0.7171342720906205,-34.681046353769005,108.01819468808074
Recovery,90,683,2.259889955573285,2.2676794609599566,55.4904831625183,22.263158589946602,0.16874349600043326,-63.432170237170915,142.97380922760206
Strong_Bull,10,12047,0.9179628488053454,0.5836379613170927,54.694114717357024,5.8989710321548925,0.7797775093751421,-29.641428727318242,59.897054991354814
Strong_Bull,20,12047,1.7099180048920675,0.9950552042742158,55.63210757865029,8.50555151515422,0.7122332652642307,-32.41990764433045,77.13841103967005
Strong_Bull,40,12047,3.2432130838166717,2.2313766893241898,58.29667137046568,13.293249223964542,0.6111294626925456,-58.82666592073913,142.02452051494024
Strong_Bull,60,12047,4.523082805832859,3.085035925039286,59.608201211919976,16.67039653262939,0.5548367240747266,-57.37158617125766,147.2281800857265
Strong_Bull,90,12047,6.977851415814534,4.952573687089576,62.065244459201466,21.20546267383003,0.5494538323789198,-60.18692279628301,174.40787916543363
Mild_Bull,10,4818,0.15282574130569396,0.3863741514396447,52.96803652968036,6.668467052261351,0.11380833666941605,-50.022754697027395,47.515519300278854
Mild_Bull,20,4818,0.6895696927523255,1.15222422699186,56.39269406392694,9.949305800030155,0.24484718479576578,-56.40005435899283,59.5814868159832
Mild_Bull,40,4818,1.9872476374486097,1.7850938201659183,56.66251556662516,13.435157086359343,0.37003274116344226,-52.29289276825715,126.892397263295
Mild_Bull,60,4818,3.5144788514272562,2.4511741940810676,57.40971357409713,16.818918781597944,0.4270384607849991,-61.447305623279036,137.3910992673462
Mild_Bull,90,4818,7.071576722212679,5.164502260328899,60.58530510585305,20.38180860859522,0.5793526666323593,-46.401857080891844,163.9992137208339
Strong_Bear,10,2493,1.6258794622326846,1.2423476681194046,58.88487765744084,7.7169086648385505,1.0565886534235174,-31.979143480045778,58.51740997869733
Strong_Bear,20,2493,3.341728165394987,2.733368555066298,62.49498596068993,10.41722814058023,1.1375663495928852,-31.540281047334222,87.56262022933645
Strong_Bear,40,2493,7.168574052398875,5.956680918232816,69.83553951062976,14.505259248543235,1.2393073287452177,-34.1975966298665,110.8162469141245
Strong_Bear,60,2493,11.289535216746584,8.487223533560252,76.61452065784195,17.804037194449304,1.2983824338092267,-41.17610195065124,169.6580004866822
Strong_Bear,90,2493,14.710238438552217,10.86304308879499,78.4997994384276,22.224399981494535,1.106449713702521,-28.77187773543301,271.6401490754256
Mild_Bear,10,2263,1.568756587486213,1.1174903575512594,59.2576226248343,5.869594627714781,1.3402703386401207,-30.109680745382605,41.929866755081015
Mild_Bear,20,2263,2.6149877319274983,1.654861518754162,59.61113566062749,8.296464441571283,1.1174176207764854,-33.99922208324452,46.39173655362668
Mild_Bear,40,2263,4.134958356770286,3.4729910655188787,64.38356164383562,10.846420352340035,0.9553528989531568,-41.49142320447499,79.25852427581836
Mild_Bear,60,2263,5.898853678288726,4.405416700608113,66.90234202386213,12.92554808976385,0.933719746074658,-42.70661663186448,67.10280435998908
Mild_Bear,90,2263,8.732381357510926,6.235026607955189,66.59301811754308,18.484374754009895,0.7891699374623761,-55.29171730187381,132.66707657009053
