date,ticker,action,price,shares,value,regime,trend,volume,reason,pnl,pnl_pct,days_held,mae,mfe
2025-10-24,JINDALSTEL,BUY,1008.2000122070312,99,99811.8012084961,Strong_Bull,73,Flat,Entry Signal,,,,,
2025-10-24,SIEMENS,BUY,3152.199951171875,28,88261.5986328125,Strong_Bull,61,Flat,Entry Signal,,,,,
2025-10-31,M&M,BUY,3487.199951171875,23,80205.59887695312,Strong_Bull,74,Flat,Entry Signal,,,,,
2025-10-31,BAJAJ-AUTO,BUY,8892.5,8,71140.0,Strong_Bull,72,Flat,Entry Signal,,,,,
2025-11-07,MARUTI,BUY,15479.0,4,61916.0,Strong_Bull,74,Flat,Entry Signal,,,,,
2025-11-14,EICHERMOT,BUY,6695.0,8,53560.0,Strong_Bull,75,Flat,Entry Signal,,,,,
2025-11-14,TVSMOTOR,BUY,3386.5,16,54184.0,Strong_Bull,74,Flat,Entry Signal,,,,,
2025-11-21,JSWSTEEL,BUY,1140.300048828125,42,47892.60205078125,Strong_Bull,73,Flat,Entry Signal,,,,,
2025-11-21,COALINDIA,BUY,378.20001220703125,116,43871.201416015625,Strong_Bull,73,Flat,Entry Signal,,,,,
2025-11-21,TATASTEEL,BUY,168.0,235,39480.0,Strong_Bull,72,Flat,Entry Signal,,,,,
2026-01-30,COALINDIA,SELL,440.75,116,50871.365,Strong_Bull,73,Flat,Target Hit,7000.163583984373,15.956170239342688,70.0,-0.5420460720198682,16.53886456215346
2026-01-30,TATASTEEL,SELL,193.1300048828125,235,45158.62339172363,Strong_Bull,72,Flat,Target Hit,5678.623391723631,14.383544558570494,70.0,-0.5297615414574033,14.958336239769347
2026-01-30,ITC,BUY,315.5370788574219,143,45121.80227661133,Mild_Bull,6,Flat,Entry Signal,,,,,
2026-01-30,TRENT,BUY,3785.5,10,37855.0,Mild_Bull,6,Flat,Entry Signal,,,,,
2026-02-06,JINDALSTEL,SELL,1189.9000244140625,99,117211.10190490722,Strong_Bull,73,Flat,Target Hit,17399.300696411126,17.432107712459636,105.0,-2.152351908777324,18.022218806492102
2026-02-06,DIVISLAB,BUY,6024.5,8,48196.0,Mild_Bull,19,Flat,Entry Signal,,,,,
