Horizon,Variant,CAGR%,MaxDD%,Sharpe,WinRate%,Trades,AvgWin%,AvgLoss%,AvgCash%
1y,Baseline (OptComp-V21),29.88430736312866,-7.758930986427419,1.5867652548284719,44.230769230769226,52,20.988564990615966,-6.062774326343458,29.764627403337354
1y,Chop Zone Shield (-4% to +2%),8.623227532958989,-4.1025693780517605,1.4053816312116578,48.484848484848484,33,9.983761139639135,-2.563665079902383,90.01152278194272
3y,Baseline (OptComp-V21),31.959977214189994,-21.614266549599815,1.5444034017531911,43.42857142857143,175,26.84467775254123,-8.609499906029706,30.640216468053993
3y,Chop Zone Shield (-4% to +2%),12.925963235571203,-8.806884965912166,1.512291561945307,52.63157894736842,114,14.217985790588244,-3.9517938758568527,83.38755380736399
5y,Baseline (OptComp-V21),27.589031113717798,-21.43017299327028,1.3665666139467518,43.39622641509434,318,23.088498608566205,-8.053896356368707,31.554176677927828
5y,Chop Zone Shield (-4% to +2%),7.945552958201119,-15.417002607910845,0.8642743945941144,54.1044776119403,268,9.909776374508382,-5.5791728505990505,81.7127422617417
10y,Baseline (OptComp-V21),24.339728936932282,-35.939690278723546,1.2606056880453038,40.0,600,29.014801538247074,-8.592645557409284,31.645152667698987
10y,Chop Zone Shield (-4% to +2%),8.011167390204555,-18.59985378305403,0.8252928800865781,47.093889716840536,671,10.888173848291062,-5.534368736531781,77.35180610751652
15y,Baseline (OptComp-V21),24.24303411899964,-32.63532742341212,1.3197274441997044,40.70021881838075,914,24.820896224082414,-7.834507342110569,31.4957566359911
15y,Chop Zone Shield (-4% to +2%),12.20334873109472,-14.061412765244855,1.2550460266892727,50.54617676266137,1007,10.074626110837498,-4.7975651639176995,78.67353861787112
