PnL%,Reason,Hold,Ticker
6.74,FullRecovery,14,GODREJCP.NS
2.53,FullRecovery,14,NESTLEIND.NS
10.16,FullRecovery,5,PFIZER.NS
5.21,FullRecovery,7,CRISIL.NS
4.87,FullRecovery,8,CCL.NS
1.33,FullRecovery,1,ALKEM.NS
3.45,FullRecovery,2,GODREJAGRO.NS
9.51,FullRecovery,7,TORNTPHARM.NS
1.59,FullRecovery,34,COROMANDEL.NS
3.93,FullRecovery,14,GLAXO.NS
4.08,FullRecovery,3,GLAXO.NS
3.95,FullRecovery,8,MARUTI.NS
2.25,FullRecovery,2,CEATLTD.NS
3.89,FullRecovery,22,KOTAKBANK.NS
5.25,FullRecovery,37,PETRONET.NS
8.72,FullRecovery,12,HINDZINC.NS
3.85,FullRecovery,14,ELGIEQUIP.NS
15.36,FullRecovery,17,THERMAX.NS
-12.64,Trail,163,HEROMOTOCO.NS
-13.12,Trail,16,GODREJAGRO.NS
-13.5,Trail,34,GAIL.NS
1.48,FullRecovery,1,DRREDDY.NS
4.35,FullRecovery,35,CONCOR.NS
3.31,FullRecovery,1,CHOLAHLDNG.NS
3.36,FullRecovery,13,ITC.NS
3.05,FullRecovery,14,RECLTD.NS
0.79,FullRecovery,101,COROMANDEL.NS
-12.63,Trail,19,MFSL.NS
-10.07,Trail,90,IPCALAB.NS
-14.41,Trail,36,BPCL.NS
4.27,FullRecovery,18,DMART.NS
-14.33,Trail,129,HINDUNILVR.NS
-11.76,Trail,21,BHARATFORG.NS
3.53,FullRecovery,34,MARICO.NS
2.12,FullRecovery,53,PFC.NS
14.62,FullRecovery,60,GODFRYPHLP.NS
-12.82,Trail,30,WIPRO.NS
-10.8,Trail,63,DMART.NS
-11.32,Trail,23,RECLTD.NS
-11.74,Trail,56,DIVISLAB.NS
1.82,FullRecovery,4,BLUEDART.NS
-13.72,Trail,6,MAHSEAMLES.NS
-10.64,Trail,21,EMAMILTD.NS
-12.35,Trail,61,BAYERCROP.NS
4.02,FullRecovery,58,COROMANDEL.NS
6.39,FullRecovery,18,HDFCLIFE.NS
10.05,FullRecovery,35,PIDILITIND.NS
5.84,FullRecovery,27,SBILIFE.NS
3.74,FullRecovery,60,SKFINDIA.NS
5.85,FullRecovery,41,ERIS.NS
5.57,FullRecovery,10,GILLETTE.NS
3.81,FullRecovery,7,NMDC.NS
4.67,FullRecovery,2,UBL.NS
4.83,FullRecovery,70,PFIZER.NS
4.16,FullRecovery,17,RADICO.NS
2.65,FullRecovery,18,HINDPETRO.NS
15.58,FullRecovery,23,SONACOMS.NS
2.13,FullRecovery,6,AKZOINDIA.NS
3.9,FullRecovery,23,KOTAKBANK.NS
1.79,FullRecovery,1,HAPPSTMNDS.NS
2.73,FullRecovery,6,INDIAMART.NS
4.18,FullRecovery,22,GUJGASLTD.NS
2.77,FullRecovery,3,KEC.NS
-11.63,Trail,20,MANYAVAR.NS
-10.56,Trail,53,SKFINDIA.NS
-10.71,Trail,97,SBICARD.NS
4.06,FullRecovery,10,HDFCLIFE.NS
3.13,FullRecovery,4,ASAHIINDIA.NS
5.89,FullRecovery,74,HONAUT.NS
-0.19,FullRecovery,35,DCMSHRIRAM.NS
1.08,FullRecovery,2,COROMANDEL.NS
-12.21,Trail,29,BERGEPAINT.NS
2.52,FullRecovery,3,ITC.NS
2.79,FullRecovery,7,INDUSINDBK.NS
5.11,FullRecovery,125,INDIAMART.NS
4.92,FullRecovery,9,BALKRISIND.NS
9.08,FullRecovery,10,BLUEDART.NS
3.95,FullRecovery,13,MARICO.NS
1.1,FullRecovery,54,3MINDIA.NS
-13.06,Trail,42,IDFCFIRSTB.NS
5.5,FullRecovery,26,SHREECEM.NS
1.82,FullRecovery,14,KOTAKBANK.NS
4.32,FullRecovery,3,CRISIL.NS
1.71,FullRecovery,3,MANKIND.NS
5.74,FullRecovery,33,ASIANPAINT.NS
12.27,FullRecovery,10,ASTERDM.NS
11.54,FullRecovery,11,ELGIEQUIP.NS
5.26,FullRecovery,43,SBICARD.NS
-11.3,Trail,49,INDUSINDBK.NS
4.82,FullRecovery,70,SHREECEM.NS
4.52,FullRecovery,4,VGUARD.NS
1.42,FullRecovery,4,JSL.NS
7.45,FullRecovery,12,VGUARD.NS
17.4,FullRecovery,20,SRF.NS
-10.81,Trail,71,COLPAL.NS
-10.64,Trail,46,HINDUNILVR.NS
-12.04,Trail,31,BRITANNIA.NS
6.7,FullRecovery,26,HDFCLIFE.NS
11.22,FullRecovery,30,DRREDDY.NS
-12.11,Trail,41,TCS.NS
1.55,FullRecovery,18,NH.NS
1.53,FullRecovery,1,NH.NS
5.75,FullRecovery,188,WIPRO.NS
-11.31,Trail,74,IRCTC.NS
3.46,FullRecovery,3,ASTERDM.NS
